Date,Close
2015/4/22,"9,613.00"
2015/4/21,"9,533.98"
2015/4/20,"9,552.85"
2015/4/17,"9,570.93"
2015/4/16,"9,656.87"
2015/4/15,"9,540.06"
2015/4/14,"9,642.22"
2015/4/13,"9,666.52"
2015/4/10,"9,617.70"
2015/4/9,"9,568.04"
2015/4/8,"9,571.97"
2015/4/7,"9,641.90"
2015/4/2,"9,600.32"
2015/4/1,"9,507.66"
2015/3/31,"9,586.44"
2015/3/30,"9,521.87"
2015/3/27,"9,503.72"
2015/3/26,"9,619.12"
2015/3/25,"9,667.83"
2015/3/24,"9,731.66"
2015/3/23,"9,758.09"
2015/3/20,"9,749.69"
2015/3/19,"9,736.73"
2015/3/18,"9,653.43"
2015/3/17,"9,539.44"
2015/3/16,"9,512.91"
2015/3/13,"9,579.35"
2015/3/12,"9,596.00"
2015/3/11,"9,523.18"
2015/3/10,"9,536.53"
2015/3/9,"9,562.98"
2015/3/6,"9,645.77"
2015/3/5,"9,595.09"
2015/3/4,"9,621.73"
2015/3/3,"9,605.77"
2015/3/2,"9,601.36"
2015/2/26,"9,622.10"
2015/2/25,"9,699.54"
2015/2/24,"9,629.37"
2015/2/13,"9,529.51"
2015/2/12,"9,496.31"
2015/2/11,"9,462.22"
2015/2/10,"9,393.70"
2015/2/9,"9,421.50"
2015/2/6,"9,456.18"
2015/2/5,"9,512.05"
2015/2/4,"9,513.92"
2015/2/3,"9,448.73"
2015/2/2,"9,386.99"
2015/1/30,"9,361.91"
2015/1/29,"9,426.90"
2015/1/28,"9,510.92"
2015/1/27,"9,521.59"
2015/1/26,"9,477.67"
2015/1/23,"9,470.94"
2015/1/22,"9,369.51"
2015/1/21,"9,319.71"
2015/1/20,"9,251.69"
2015/1/19,"9,174.06"
2015/1/16,"9,138.29"
2015/1/15,"9,165.09"
2015/1/14,"9,180.23"
2015/1/13,"9,231.80"
2015/1/12,"9,178.30"
2015/1/9,"9,215.58"
2015/1/8,"9,238.03"
2015/1/7,"9,080.09"
2015/1/6,"9,048.34"
2015/1/5,"9,274.11"
2014/12/31,"9,307.26"
2014/12/30,"9,268.43"
2014/12/29,"9,286.28"
2014/12/27,"9,218.50"
2014/12/26,"9,214.07"
2014/12/25,"9,158.70"
2014/12/24,"9,186.18"
2014/12/23,"9,097.71"
2014/12/22,"9,095.00"
2014/12/19,"8,999.52"
2014/12/18,"8,878.63"
2014/12/17,"8,828.36"
2014/12/16,"8,950.91"
2014/12/15,"8,985.63"
2014/12/12,"9,027.33"
2014/12/11,"9,013.07"
2014/12/10,"9,032.16"
2014/12/9,"9,128.90"
2014/12/8,"9,187.29"
2014/12/5,"9,206.57"
2014/12/4,"9,225.11"
2014/12/3,"9,175.26"
2014/12/2,"9,034.79"
2014/12/1,"9,117.71"
2014/11/28,"9,187.15"
2014/11/27,"9,165.31"
2014/11/26,"9,122.39"
2014/11/25,"9,116.24"
2014/11/24,"9,122.33"
2014/11/21,"9,091.53"
2014/11/20,"9,078.87"
2014/11/19,"8,963.24"
2014/11/18,"8,859.07"
2014/11/17,"8,884.39"
2014/11/14,"8,982.88"
2014/11/13,"8,980.67"
2014/11/12,"8,918.95"
2014/11/11,"9,034.14"
2014/11/10,"9,049.98"
2014/11/7,"8,912.62"
2014/11/6,"8,891.02"
2014/11/5,"8,962.60"
2014/11/4,"8,989.18"
2014/11/3,"9,004.86"
2014/10/31,"8,974.76"
2014/10/30,"8,888.07"
2014/10/29,"8,903.68"
2014/10/28,"8,773.55"
2014/10/27,"8,627.78"
2014/10/24,"8,646.01"
2014/10/23,"8,731.07"
2014/10/22,"8,748.83"
2014/10/21,"8,654.64"
2014/10/20,"8,663.14"
2014/10/17,"8,512.88"
2014/10/16,"8,633.69"
2014/10/15,"8,655.51"
2014/10/14,"8,768.39"
2014/10/13,"8,711.39"
2014/10/9,"8,966.44"
2014/10/8,"8,955.18"
2014/10/7,"9,040.81"
2014/10/6,"9,095.14"
2014/10/3,"9,106.28"
2014/10/2,"8,975.19"
2014/10/1,"8,990.26"
2014/9/30,"8,966.92"
2014/9/29,"8,960.76"
2014/9/26,"8,989.82"
2014/9/25,"9,011.59"
2014/9/24,"9,098.49"
2014/9/23,"9,084.90"
2014/9/22,"9,134.65"
2014/9/19,"9,240.45"
2014/9/18,"9,237.03"
2014/9/17,"9,195.17"
2014/9/16,"9,133.40"
2014/9/15,"9,217.46"
2014/9/12,"9,223.18"
2014/9/11,"9,322.95"
2014/9/10,"9,357.61"
2014/9/9,"9,434.77"
2014/9/5,"9,407.94"
2014/9/4,"9,428.89"
2014/9/3,"9,450.35"
2014/9/2,"9,399.72"
2014/9/1,"9,513.06"
2014/8/29,"9,436.27"
2014/8/28,"9,478.37"
2014/8/27,"9,485.59"
2014/8/26,"9,393.96"
2014/8/25,"9,390.62"
2014/8/22,"9,380.10"
2014/8/21,"9,253.38"
2014/8/20,"9,288.05"
2014/8/19,"9,243.78"
2014/8/18,"9,141.31"
2014/8/15,"9,206.81"
2014/8/14,"9,230.61"
2014/8/13,"9,231.31"
2014/8/12,"9,163.12"
2014/8/11,"9,172.91"
2014/8/8,"9,085.96"
2014/8/7,"9,131.44"
2014/8/6,"9,143.97"
2014/8/5,"9,141.44"
2014/8/4,"9,330.19"
2014/8/1,"9,266.51"
2014/7/31,"9,315.85"
2014/7/30,"9,447.02"
2014/7/29,"9,391.88"
2014/7/28,"9,420.18"
2014/7/25,"9,439.29"
2014/7/24,"9,527.54"
2014/7/22,"9,499.36"
2014/7/21,"9,440.97"
2014/7/18,"9,400.97"
2014/7/17,"9,408.24"
2014/7/16,"9,484.73"
2014/7/15,"9,569.17"
2014/7/14,"9,520.30"
2014/7/11,"9,495.84"
2014/7/10,"9,565.12"
2014/7/9,"9,489.98"
2014/7/8,"9,530.98"
2014/7/7,"9,520.20"
2014/7/4,"9,510.05"
2014/7/3,"9,526.23"
2014/7/2,"9,484.96"
2014/7/1,"9,441.92"
2014/6/30,"9,393.07"
2014/6/27,"9,306.83"
2014/6/26,"9,320.94"
2014/6/25,"9,242.16"
2014/6/24,"9,246.20"
2014/6/23,"9,228.35"
2014/6/20,"9,273.79"
2014/6/19,"9,316.81"
2014/6/18,"9,279.93"
2014/6/17,"9,240.60"
2014/6/16,"9,202.93"
2014/6/13,"9,196.39"
2014/6/12,"9,204.65"
2014/6/11,"9,229.80"
2014/6/10,"9,222.37"
2014/6/9,"9,162.74"
2014/6/6,"9,134.46"
2014/6/5,"9,140.72"
2014/6/4,"9,119.96"
2014/6/3,"9,123.46"
2014/5/30,"9,075.91"
2014/5/29,"9,109.00"
2014/5/28,"9,121.71"
2014/5/27,"9,055.29"
2014/5/26,"9,036.12"
2014/5/23,"9,008.22"
2014/5/22,"8,969.63"
2014/5/21,"8,862.42"
2014/5/20,"8,887.79"
2014/5/19,"8,899.90"
2014/5/16,"8,888.45"
2014/5/15,"8,880.65"
2014/5/14,"8,875.16"
2014/5/13,"8,817.94"
2014/5/12,"8,808.61"
2014/5/9,"8,889.69"
2014/5/8,"8,930.90"
2014/5/7,"8,893.22"
2014/5/6,"8,912.39"
2014/5/5,"8,870.43"
2014/5/2,"8,867.32"
2014/4/30,"8,791.44"
2014/4/29,"8,872.11"
2014/4/28,"8,809.71"
2014/4/25,"8,774.12"
2014/4/24,"8,945.45"
2014/4/23,"8,956.92"
2014/4/22,"8,974.71"
2014/4/21,"8,951.19"
2014/4/18,"8,966.66"
2014/4/17,"8,944.16"
2014/4/16,"8,923.82"
2014/4/15,"8,916.71"
2014/4/14,"8,857.42"
2014/4/11,"8,908.05"
2014/4/10,"8,948.10"
2014/4/9,"8,930.57"
2014/4/8,"8,888.25"
2014/4/7,"8,876.44"
2014/4/3,"8,888.54"
2014/4/2,"8,905.45"
2014/4/1,"8,873.15"
2014/3/31,"8,849.28"
2014/3/28,"8,774.64"
2014/3/27,"8,779.57"
2014/3/26,"8,737.27"
2014/3/25,"8,689.30"
2014/3/24,"8,605.38"
2014/3/21,"8,577.17"
2014/3/20,"8,597.33"
2014/3/19,"8,689.46"
2014/3/18,"8,731.94"
2014/3/17,"8,700.10"
2014/3/14,"8,687.63"
2014/3/13,"8,747.79"
2014/3/12,"8,684.73"
2014/3/11,"8,702.33"
2014/3/10,"8,665.24"
2014/3/7,"8,713.96"
2014/3/6,"8,713.79"
2014/3/5,"8,632.93"
2014/3/4,"8,554.54"
2014/3/3,"8,601.98"
2014/2/27,"8,639.58"
2014/2/26,"8,600.86"
2014/2/25,"8,575.62"
2014/2/24,"8,560.61"
2014/2/21,"8,601.86"
2014/2/20,"8,524.62"
2014/2/19,"8,577.01"
2014/2/18,"8,556.23"
2014/2/17,"8,519.55"
2014/2/14,"8,513.68"
2014/2/13,"8,467.70"
2014/2/12,"8,510.87"
2014/2/11,"8,430.56"
2014/2/10,"8,391.95"
2014/2/7,"8,387.35"
2014/2/6,"8,311.01"
2014/2/5,"8,264.48"
2014/1/27,"8,462.57"
2014/1/24,"8,598.31"
2014/1/23,"8,595.10"
2014/1/22,"8,625.30"
